0,1,2,3,4,5,6,7,8,9,10,11,12,label
-385.99496,149.67996,-6.9340096,-12.265702,7.3912163,7.3901787,-20.759205,13.594503,-16.373219,-11.270309,-4.4481936,-11.36928,1.0003246,0
-326.83365,138.99506,-14.399215,1.4685675,10.9990635,10.070439,-31.425781,7.5646524,-32.16045,-8.27965,5.6762276,-10.068532,0.3433937,0
-403.07635,136.39049,-10.866128,3.4790015,8.058733,19.462372,-25.335669,14.645573,-20.374033,-6.66505,0.51011443,-15.446321,-5.0335035,0
-354.14194,124.016975,-14.004657,2.4608104,16.18435,11.5583315,-35.961784,3.1161983,-14.311805,-4.1642194,-2.2104874,-14.050904,-9.243833,0
-341.70065,111.30534,-0.96919256,11.914323,17.078384,14.736081,-35.0576,3.8431106,-11.288967,-11.715082,-14.608394,-16.345778,-11.805734,0
-368.8445,119.408325,-7.127619,-0.4046243,8.709786,22.630451,-24.511108,10.645827,-9.930191,-8.266121,-2.8347077,3.9461465,-8.1269865,1
-354.58664,134.45982,-14.386894,-1.2982974,21.878843,30.499418,-20.045748,3.2515008,-8.58082,-9.002687,-0.17721775,7.6538844,-5.6383123,1
-442.21136,132.35023,-2.5453997,-6.8596525,18.945318,16.560703,-12.863001,5.588629,-6.410737,-12.065541,-4.0819287,-1.6956282,-7.60624,1
-349.0057,134.42809,4.548958,-2.2451034,12.418097,15.907745,-17.995893,-0.54376656,-1.3376684,-11.0623665,-9.385351,2.6486197,-5.6360836,1
-369.22537,138.76807,1.9307921,-1.9121474,13.7919445,15.549497,-24.85648,5.9556327,-0.23008472,-12.81016,-5.9278154,5.6416106,-10.819195,1
-386.4742,142.63258,7.557957,-0.5616326,13.731025,18.063742,-25.911827,6.6537995,-2.1874964,-18.2234,-5.52116,1.879936,-8.32873,1
-345.14252,162.6333,-8.457511,-8.580263,15.739921,23.49998,-34.321846,7.051514,-4.1859508,-13.260911,-0.56776714,12.609405,-2.6738677,1
