0,1,2,3,4,5,6,7,8,9,10,11,12,label
-353.60992,123.41488,3.1775022,-1.4560336,8.582463,30.92758,-17.852589,11.927404,-8.008403,-5.5285106,-0.9923651,-7.5076003,-2.7628438,1
-418.4722,138.56006,5.8866224,6.1644917,2.1021154,26.887869,-14.610777,13.97319,-9.26257,-8.867831,-8.5775,-7.1236134,0.24754089,1
-384.58154,135.38876,10.123864,1.7600304,-2.1931899,21.825356,-16.525352,12.062948,-6.3111787,0.8038281,-3.9793005,-10.646506,-3.2727947,1
-342.8206,136.93613,13.269637,5.187281,-0.84782296,29.492767,-16.550064,13.952251,-6.8877277,-6.069522,-6.6357207,-7.5772123,-1.3075215,1
-390.5955,131.44814,4.92788,5.172249,5.0247617,24.935802,-10.668548,11.318337,-5.8607516,-3.6907141,-2.582576,-9.176612,-1.2543873,1
-384.58154,135.38876,10.123864,1.7600304,-2.1931899,21.825356,-16.525352,12.062948,-6.3111787,0.8038281,-3.9793005,-10.646506,-3.2727947,1
-343.79172,121.556786,9.688581,14.63483,9.40495,35.56803,-22.749002,21.196707,-8.44301,-3.3249981,-5.1707034,-7.7647614,-7.6116567,1
-363.3625,133.97397,4.7018576,-0.7744542,3.8502414,24.232428,-19.62475,12.163295,-7.6641846,-3.6023412,-2.7099814,-9.511507,-2.8794582,1
-390.5955,131.44814,4.92788,5.172249,5.0247617,24.935802,-10.668548,11.318337,-5.8607516,-3.6907141,-2.582576,-9.176612,-1.2543873,1
-349.94308,130.90094,5.0080776,-0.21484692,1.4929619,22.8264,-16.557825,10.698228,-8.197946,-11.725521,-5.383052,-7.392933,-1.5331286,1
-340.7195,126.71415,8.944482,9.479612,11.708169,34.13017,-19.233265,19.121317,-7.186245,-8.541813,-5.505123,-8.582869,-4.840889,1
-277.93466,68.4329,-33.07111,36.32866,-42.275314,26.834955,-24.398134,18.252363,5.6206245,1.9619626,6.3545766,-20.724773,-0.8512776,0
-278.43622,64.359955,-17.684763,46.32369,-57.676857,28.37373,-16.480993,9.910083,-1.678354,4.343036,8.493265,-16.446781,-0.11710707,0
-308.03915,97.90917,-3.6227024,13.188674,-44.239056,6.7639437,-26.718987,13.1642065,5.563752,4.5452614,5.281939,-17.260704,2.07526,0
-316.4312,103.37898,-10.858637,11.890644,-30.675184,4.5533614,-23.487286,7.510966,10.141159,6.370279,4.8081822,-12.061449,6.5734754,0
-288.03348,113.25933,-21.29613,4.1629477,-35.506805,9.76968,-31.26881,6.0945883,10.287011,11.0432415,3.6365814,-15.793704,8.945417,0
-283.1449,62.619698,-17.750187,46.262657,-57.61744,18.238197,-14.628083,20.041693,-2.9104304,0.57714355,7.8025413,-17.625015,-2.5335536,0
-293.4471,106.50321,-30.923914,10.218933,-37.046875,5.890201,-26.6585,22.12665,7.5013413,4.9794273,4.2962966,-16.738554,8.338689,0
